source,date,author,url,pick,team,player,position,school,conference,source-abb,last-name,draft-id
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,21,pittsburgh-steelers,Jaxson Dart,QB,Mississippi,SEC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,22,los-angeles-chargers,Matthew Golden,WR,Texas,SEC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,23,green-bay-packers,Derrick Harmon,DL,Oregon,Big Ten,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,24,minnesota-vikings,Walter Nolen,DL,Mississippi,SEC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,25,houston-texans,Josh Simmons,OT,Ohio St.,Big Ten,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,26,los-angeles-rams,Josh Simmons,OT,Alabama,SEC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,27,baltimore-ravens,Tyler Booker,IOL,Alabama,SEC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,28,detroit-lions,Mykel Williams,EDGE,Georgia,SEC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,29,washington-commanders,Maxwell Hairston,CB,Kentucky,SEC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,30,buffalo-bills,Donovan Ezeiruaku,EDGE,Boston College,ACC,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,31,kansas-city-chiefs,Grey Zabel,IOL,North Dakota St.,FCS,33rd Team,Brooke,33rd Team - Brooke!1
33rd Team,2025-03-29,Tyler Brooke,https://www.nflmockdraftdatabase.com/mock-drafts/2025/33rd-team-2025-tyler-brooke?date=2025-03-29,32,philadelphia-eagles,Luther Burden,WR,Missouri,SEC,33rd Team,Brooke,33rd Team - Brooke!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,1,tennessee-titans,Cameron Ward,QB,Miami (FL),ACC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,2,cleveland-browns,Shedeur Sanders,QB,Colorado,Big 12,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,3,new-york-giants,Travis Hunter,CB,Colorado,Big 12,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,4,new-england-patriots,Abdul Carter,EDGE,Penn St.,Big Ten,Fantasy Life,Freedman,Fantasy Life - Freedman!1
